LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
24.0,焦作,10,0.0,0.27291000000000004,272.91,0.22986,229.86,20200301,是,否,焦作市接入环双跨环6-冯河北-丽景新天地,13.0,河南,接入层
16.0,焦作,10,0.0,0.36489,364.89,0.27570999999999996,275.71,20200301,是,否,焦作市接入环双跨环8-龙源西路2-大北张西,14.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,高新区核心一链5-工商大厦（室分）,1.0,河南,接入层
4.0,焦作,1,0.0,0.04754,47.54,0.04375,43.75,20200301,是,否,新新家园接入环5-和平市场东-焦作商厦链,1.0,河南,接入层
8.0,焦作,1,0.0,0.01638,16.38,0.016329999999999997,16.33,20200301,是,否,沁阳接入环16-甄庄-王庄,3.0,河南,接入层
0.0,焦作,10,0.0,0.11867,118.67,0.10829000000000001,108.29,20200301,否,否,焦作市区接入环3-南张庄-驾校,4.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场-市委小区室分链,1.0,河南,接入层
6.0,焦作,1,0.0,0.15625,156.25,0.14072,140.72,20200301,是,否,博爱接入环17-西张赶-孝敬,8.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-市长公寓室分链,1.0,河南,接入层
0.0,焦作,1,0.0,0.005719999999999999,5.72,0.00533,5.33,20200301,否,否,生产楼核心3链7-国土资源局室分,1.0,河南,接入层
12.0,焦作,1,0.0,0.02906,29.06,0.0211,21.1,20200301,是,否,新新家园2接入链2-观澜国际,1.0,河南,接入层
0.0,焦作,2,0.0,0.22268000000000002,222.68,0.22194999999999998,221.95,20200301,否,否,生产楼核心一接入环1-市商业银行（数据）,2.0,河南,接入层
14.0,焦作,1,0.0,0.15011000000000002,150.11,0.14327,143.27,20200301,是,否,沁阳接入环3-人民公园-马铺,5.0,河南,接入层
0.0,焦作,1,0.0,0.00709,7.09,0.00707,7.07,20200301,否,否,马村链2-马村财政局汇聚,1.0,河南,接入层
22.0,焦作,4,0.0,0.12568000000000001,125.68,0.11772,117.72,20200301,是,否,生产楼接入环6-阳光大厦链路,7.0,河南,接入层
4.0,焦作,1,0.0,0.04918,49.18,0.04759,47.59,20200301,是,否,生产楼核心3链8-生产楼数据,5.0,河南,接入层
6.0,焦作,1,0.0,0.02389,23.89,0.01677,16.77,20200301,是,否,修武县接入环16-孔村-王屯,6.0,河南,接入层
28.0,焦作,3,0.0,0.16294999999999998,162.95,0.13745,137.45,20200301,是,否,焦作市区接入环16-百间房-寺河,7.0,河南,接入层
8.0,焦作,1,0.0,0.01461,14.61,0.013859999999999999,13.86,20200301,是,否,生产楼核心一链25-建委小区室分,2.0,河南,接入层
12.0,焦作,1,0.0,0.01385,13.85,0.01167,11.67,20200301,是,否,沁阳接入环15-贾村-木楼,5.0,河南,接入层
2.0,焦作,1,0.0,0.05727,57.27,0.03473,34.73,20200301,是,否,焦作市上白作接入链3-1640-花园街外国语中学-1-D1EM8F-1(PORT-1)-1020-上白作汇聚-2-81EG8-3(PORT-3),1.0,河南,接入层
18.0,焦作,1,0.0,0.22311,223.11,0.19477,194.77,20200301,是,否,武陟县接入环20-北小庄-小聂村北,2.0,河南,接入层
4.0,焦作,10,0.0,0.6194,619.4,0.6169,616.9,20200301,是,否,孟州接入环23-谷旦-冶墙,9.0,河南,接入层
10.0,焦作,1,0.0,0.03864,38.64,0.030670000000000003,30.67,20200301,是,否,沁阳接入环7-杨林-保方村,2.0,河南,接入层
10.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环7-西王占-保方村,2.0,河南,接入层
0.0,焦作,1,0.0,0.1295,129.5,0.12653,126.53,20200301,否,否,焦作市接入环双跨环10-市政广场-防疫站-总部新城行政服务大厅链,1.0,河南,接入层
8.0,焦作,1,0.0,0.18644,186.44,0.18345,183.45,20200301,是,否,沁阳接入环7-东乡-王曲,4.0,河南,接入层
10.0,焦作,1,0.0,0.41905000000000003,419.05,0.41542,415.42,20200301,是,否,孟州接入环3-东光村-刘庄造纸厂,6.0,河南,接入层
0.0,焦作,1,0.0,0.07682,76.82,0.06543,65.43,20200301,否,否,温县接入链5-温县农信社监控,1.0,河南,接入层
8.0,焦作,1,0.0,0.09012,90.12,0.0631,63.1,20200301,是,否,沁阳接入环38-九渡-于邰,2.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,武陟县接入链3-武陟农信社监控,1.0,河南,接入层
24.0,焦作,2,0.0,0.28588,285.88,0.24558000000000002,245.58,20200301,是,否,马村接入环1-马村公交公司-马村办事处,5.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场-人才大楼链,1.0,河南,接入层
0.0,焦作,1,0.0,0.05715,57.15,0.053329999999999995,53.33,20200301,否,否,焦作市区接入环24-卫校西街-医药局-农行汇聚,2.0,河南,接入层
8.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-教育小区室分链,2.0,河南,接入层
2.0,焦作,1,0.0,0.0075,7.5,0.00631,6.31,20200301,是,否,焦作市区接入环24-卫校西街-医药局-社保中心链,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,武陟县接入链1-武陟机房数据（集客）,1.0,河南,接入层
80.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,修武县接入环9-方庄-新王庄-沙墙南,2.0,河南,接入层
2.0,焦作,1,0.0,0.0031,3.1,0.0028399999999999996,2.84,20200301,是,否,焦作市南北苑链4-山阳建国饭店,1.0,河南,接入层
10.0,焦作,1,0.0,0.05684,56.84,0.042140000000000004,42.14,20200301,是,否,生产楼核心一链14-环保局(室分),3.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市接入环双跨环12-迎宾馆东北角-西于村安置小区-贰仟家室分,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市区接入环8-新理工松5机房-新理工博士楼-中华新天地链,1.0,河南,接入层
