LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
8.0,焦作,10,0.0,0.15994,159.94,0.14468999999999999,144.69,20200301,是,否,修武县双跨接入环12-周庄北--赵张弓,7.0,河南,接入层
8.0,焦作,1,0.0,0.23209,232.09,0.2311,231.1,20200301,是,否,孟州接入环18-塔地-杜庄南,5.0,河南,接入层
8.0,焦作,10,0.0,0.25668,256.68,0.25065,250.65,20200301,是,否,孟州接入环2-驸马庄-南庄三村,7.0,河南,接入层
44.0,焦作,3,0.0,0.35383,353.83,0.32738999999999996,327.39,20200301,是,否,焦作市区接入环14-九里山矿-未来铝业,12.0,河南,接入层
59.0,焦作,10,0.0,0.06416,64.16,0.05682,56.82,20200301,是,否,焦作市区接入环7-新理工大安全学院-理工大力附中操场西北,7.0,河南,接入层
36.0,焦作,1,0.0,0.16466999999999998,164.67,0.16212000000000001,162.12,20200301,是,否,孟州接入环34-东关联通-凤凰路与河阳路,9.0,河南,接入层
2.0,焦作,1,0.0,0.07909000000000001,79.09,0.04275,42.75,20200301,是,否,新新家园接入环9-新新家园数据-解放区农信社,2.0,河南,接入层
22.0,焦作,1,0.0,0.16006,160.06,0.14681,146.81,20200301,是,否,武陟县接入环11-三阳2-宁郭镇政府,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,温县接入链2-凤凰城,1.0,河南,接入层
14.0,焦作,1,0.0,0.10944,109.44,0.07464,74.64,20200301,是,否,武陟县接入环17-炉里-后刘庄,6.0,河南,接入层
30.0,焦作,10,0.0,0.22305,223.05,0.16837,168.37,20200301,是,否,生产楼接入环3-绿园小区(常庄)-国税局(怡园集贸市场),5.0,河南,接入层
0.0,焦作,1,0.0,0.012410000000000001,12.41,0.012369999999999999,12.37,20200301,否,否,生产楼接入环6-发改委专线汇聚链路,1.0,河南,接入层
8.0,焦作,10,0.0,0.11497,114.97,0.10356,103.56,20200301,是,否,孟州接入环29-西虢镇乡政府-槐树东,7.0,河南,接入层
16.0,焦作,1,0.0,0.16688,166.88,0.15929,159.29,20200301,是,否,温县接入环36-安乐寨-泛家居工业园,7.0,河南,接入层
0.0,焦作,10,0.0,0.0,0.0,0.0,0.0,20200301,否,否,6454-锦绣江南机房970-子架1-1-TPK1EX1S-1(PORT-1)-6001-锦绣江南-5-82EX2-2(对接锦绣江南PTN970),0.0,河南,接入层
10.0,焦作,1,0.0,0.09298000000000001,92.98,0.08378000000000001,83.78,20200301,是,否,武陟县接入环38-小徐岗东-迎宾苑,6.0,河南,接入层
0.0,焦作,10,0.0,0.15215,152.15,0.14709,147.09,20200301,否,否,博爱接入环4-东界沟-南张茹,7.0,河南,接入层
8.0,焦作,1,0.0,0.048780000000000004,48.78,0.0366,36.6,20200301,是,否,武陟县接入环29-商贸城2-兰封-南流西链,5.0,河南,接入层
18.0,焦作,1,0.0,0.12972999999999998,129.73,0.12805000000000002,128.05,20200301,是,否,修武县接入环12-裕国庄-葛庄煤球厂,4.0,河南,接入层
20.0,焦作,1,0.0,0.41264,412.64,0.37401,374.01,20200301,是,否,武陟县接入环19-圪垱店北-冯丈,8.0,河南,接入层
10.0,焦作,1,0.0,0.011,11.0,0.01095,10.95,20200301,是,否,温县接入环21-陈家沟西-温县电信北平皋（共享电信）,5.0,河南,接入层
16.0,焦作,1,0.0,0.24669,246.69,0.22409,224.09,20200301,是,否,温县接入环25-北冶（联通）-西招贤,9.0,河南,接入层
6.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市区接入环9-森林半岛-新河一桥西基站2--龙源湖国际广场链,1.0,河南,接入层
29.0,焦作,1,0.0,0.15264,152.64,0.12346,123.46,20200301,是,否,焦作接入环10-王冯封村东-西冯封村委,10.0,河南,接入层
10.0,焦作,10,0.0,0.15347999999999998,153.48,0.14717,147.17,20200301,是,否,中站接入环3-十三中-世纪小区,3.0,河南,接入层
6.0,焦作,1,0.0,0.01048,10.48,0.007690000000000001,7.69,20200301,是,否,新新家园链4-大丰商场室分,1.0,河南,接入层
2.0,焦作,1,0.0,0.01604,16.04,0.01011,10.11,20200301,是,否,焦作市区接入环15-柿园-中站劳改大队-影寺,1.0,河南,接入层
20.0,焦作,1,0.0,0.17303,173.03,0.14141,141.41,20200301,是,否,沁阳接入环10-吉祥楼-沁阳公安局,6.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环22-姑姑寺-双磨,0.0,河南,接入层
22.0,焦作,1,0.0,0.14793,147.93,0.13144,131.44,20200301,是,否,焦作接入环7-小尚-中南路与怡光路交叉口西南,9.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,生产楼接入环7-大别山商务酒店-农信小区链,1.0,河南,接入层
14.0,焦作,GE,0.0,0.19605,196.05,0.14981,149.81,20200301,是,否,修武县双跨接入环4-万方铝厂--烈杠营,8.0,河南,接入层
2.0,焦作,1,0.0,0.01066,10.66,0.01057,10.57,20200301,是,否,博爱接入环31-许良-燕京啤酒厂,0.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市接入环双跨环9-杨庄小学-大北张-焦作同仁医院5楼链,1.0,河南,接入层
12.0,焦作,1,0.0,0.20358,203.58,0.18944,189.44,20200301,是,否,博爱接入环35-水务公司-小中里西南,9.0,河南,接入层
16.0,焦作,1,0.0,0.17504,175.04,0.13463999999999998,134.64,20200301,是,否,武陟县接入环50-总干桥道班-西水寨,5.0,河南,接入层
34.0,焦作,1,0.0,0.15206,152.06,0.11022,110.22,20200301,是,否,沁阳接入环38-廖屯西基站（铁塔）-益民小区西（铁塔）,10.0,河南,接入层
40.0,焦作,1,0.0,0.2907,290.7,0.27632999999999996,276.33,20200301,是,否,孟州接入环25-南街-孟州党校,7.0,河南,接入层
6.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,修武县接入环14-北高村-南孟-北高村链,2.0,河南,接入层
36.0,焦作,1,0.0,0.3663,366.3,0.30795999999999996,307.96,20200301,是,否,沁阳接入环22-孟庄-和庄,11.0,河南,接入层
38.0,焦作,2,0.0,0.06783,67.83,0.06642,66.42,20200301,是,否,孟州接入环27-孟州移动公司（6F）2-孟州移动公司（6F）,2.0,河南,接入层
14.0,焦作,10,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳环14-义庄-紫陵,6.0,河南,接入层
10.0,焦作,1,0.0,0.07005,70.05,0.0504,50.4,20200301,是,否,武陟县接入环46-南虹桥营业厅-北东陶村,3.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市区接入环8-新理工松5机房-新理工博士楼-希望小学链,1.0,河南,接入层
10.0,焦作,2,0.0,0.03823,38.23,0.03166,31.66,20200301,是,否,新新家园接入环4-焦作技师学校实训楼-定和小区链,4.0,河南,接入层
36.0,焦作,10,0.0,0.26856,268.56,0.24525999999999998,245.26,20200301,是,否,新新家园接入环1-朝阳路-中州厂区,9.0,河南,接入层
6.0,焦作,10,0.0,0.00968,9.68,0.00912,9.12,20200301,是,否,沁阳接入环23-神农山紫金顶-宋寨,8.0,河南,接入层
14.0,焦作,1,0.0,0.02832,28.32,0.023370000000000002,23.37,20200301,是,否,武陟县接入链6-武陟铂金翰宫室分,1.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环1-西陶口-中司徒链,4.0,河南,接入层
3.0,焦作,1,0.0,0.00575,5.75,0.00564,5.64,20200301,是,否,新新家园链8-福安中央尚都,1.0,河南,接入层
10.0,焦作,1,0.0,0.00675,6.75,0.00647,6.47,20200301,是,否,沁阳接入环21-郜庄-王占,5.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,沁阳接入环43-锦绣江南机房970-沁阳移动机房970,3.0,河南,接入层
8.0,焦作,1,0.0,0.05119,51.19,0.04503,45.03,20200301,是,否,焦作市接入环双跨环2-住郭庄北-太极体育馆东南-万方嘉园北区（室分）链,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储-军分区室分链,1.0,河南,接入层
2.0,焦作,10,0.0,0.14057,140.57,0.13792,137.92,20200301,是,否,生产楼接入环8-生产楼机房PTN960-8312-高新机房PTN960,3.0,河南,接入层
16.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市区接入环26-上白作西-焦西矿-中心血站链,4.0,河南,接入层
14.0,焦作,10,0.0,0.04187,41.87,0.0418,41.8,20200301,是,否,沁阳环-14-义庄-紫陵,2.0,河南,接入层
6.0,焦作,1,0.0,0.43931,439.31,0.39657,396.57,20200301,是,否,博爱接入环18-大新庄-大庵,2.0,河南,接入层
28.0,焦作,1,0.0,0.31131,311.31,0.2903,290.3,20200301,是,否,孟州接入环24-堤北头-豫农公司,5.0,河南,接入层
0.0,焦作,2,0.0,0.00027,0.27,0.00027,0.27,20200301,否,否,高新区核心一接入环2-高新二楼数据班（集客）-高新二楼数据班（集客）4,4.0,河南,接入层
98.0,焦作,1,0.0,0.19366999999999998,193.67,0.18918000000000001,189.18,20200301,是,否,焦作市区接入环27-金属线材-泰和超市,5.0,河南,接入层
50.0,焦作,20,0.0,0.32209,322.09,0.31029,310.29,20200301,是,否,焦作市区接入环15-艺新派出所-热电厂,7.0,河南,接入层
4.0,焦作,10,0.0,0.1193,119.3,0.08034000000000001,80.34,20200301,是,否,武陟县接入环51-徐庄-小岩,5.0,河南,接入层
32.0,焦作,1,0.0,0.31833,318.33,0.30972000000000005,309.72,20200301,是,否,武陟县接入环26-嘉应观-吴小营,9.0,河南,接入层
12.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环14-小官庄-张村塔,6.0,河南,接入层
6.0,焦作,1,0.0,0.0385,38.5,0.03505,35.05,20200301,是,否,焦作市接入环双跨环2-住郭庄北-太极体育馆东南-万方嘉园南区（室分）链,1.0,河南,接入层
0.0,焦作,1,0.0,0.00064,0.64,0.00058,0.58,20200301,否,否,焦作市接入环双跨环10-市政广场-防疫站-示范区行政服务中心ATM机链,1.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,高新区核心一链7-金山开元室分,1.0,河南,接入层
6.0,焦作,1,0.0,0.046689999999999995,46.69,0.046520000000000006,46.52,20200301,是,否,修武县双跨接入环8-大韩村-周庄,6.0,河南,接入层
12.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环23-南古-北郭小司马,5.0,河南,接入层
4.0,焦作,1,0.0,0.00453,4.53,0.00319,3.19,20200301,是,否,生产楼核心一链5-焦作地税局办公楼室分,1.0,河南,接入层
32.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环32-覃源电力-荣生制药,2.0,河南,接入层
6.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环2-住郭庄北-太极体育馆东南-锦绣公馆小区（铁塔）链,2.0,河南,接入层
4.0,焦作,1,0.0,0.0071200000000000005,7.12,0.005,5.0,20200301,是,否,银发接入环1-新华中街2-万方科技学院图书馆-香港城室分链,1.0,河南,接入层
10.0,焦作,1,0.0,0.0366,36.6,0.030780000000000002,30.78,20200301,是,否,焦作接入环6-多氟多-辛庄链,3.0,河南,接入层
70.0,焦作,10,0.0,0.57889,578.89,0.54591,545.91,20200301,是,否,焦作市接入环双跨环13-龙湖玖号酒店-花卉市场,9.0,河南,接入层
12.0,焦作,1,0.0,0.10056999999999999,100.57,0.09906999999999999,99.07,20200301,是,否,孟州接入环20-西姚北-南董,5.0,河南,接入层
4.0,焦作,1,0.0,0.00691,6.91,0.0038,3.8,20200301,是,否,孟州接入环21-河阳世家-劳动局东,2.0,河南,接入层
20.0,焦作,1,0.0,0.1434,143.4,0.09774,97.74,20200301,是,否,武陟县接入环16-东小虹-大樊,8.0,河南,接入层
0.0,焦作,2,0.0,0.12118000000000001,121.18,0.07135999999999999,71.36,20200301,否,否,博爱接入环22-磨头-胭粉庄,1.0,河南,接入层
6.0,焦作,1,0.0,0.04433,44.33,0.04254,42.54,20200301,是,否,修武县双跨接入环5-小营东-郇封南,5.0,河南,接入层
0.0,焦作,10,0.0,0.26588,265.88,0.25585,255.85,20200301,否,否,新新家园接入环6-万方桥-万方桥东北角,5.0,河南,接入层
0.0,焦作,1,0.0,0.00185,1.85,0.00183,1.83,20200301,否,否,生产楼核心3链10-焦作市地税局,0.0,河南,接入层
12.0,焦作,1,0.0,0.18203,182.03,0.16394,163.94,20200301,是,否,温县接入环14-林召-姚庄,8.0,河南,接入层
22.0,焦作,1,0.0,0.28541000000000005,285.41,0.26494,264.94,20200301,是,否,修武县接入环17-县医院-火车站,9.0,河南,接入层
58.0,焦作,10,0.0,0.42047,420.47,0.40470999999999996,404.71,20200301,是,否,焦作市区接入环24-大德生医院-医药局,8.0,河南,接入层
12.0,焦作,1,0.0,0.0785,78.5,0.054020000000000006,54.02,20200301,是,否,武陟县接入环42-吴小营东-范庄北,5.0,河南,接入层
0.0,焦作,1,0.0,0.00333,3.33,0.00332,3.32,20200301,否,否,温县接入链5-温县财政局,1.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-师专西南链,2.0,河南,接入层
28.0,焦作,1,0.0,0.43234,432.34,0.41607,416.07,20200301,是,否,武陟县接入环20-斯坦福小镇-郭村,11.0,河南,接入层
12.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环23-南古-北郭小司马3404-南古-2-EG2-1(PORT-1)-3519-浮桥项目部-3-D3EM8F-1(PORT-1),0.0,河南,接入层
42.0,焦作,10,0.0,0.43019999999999997,430.2,0.41562,415.62,20200301,是,否,焦作市区接入环2-碧海云天大酒店-十二中,11.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,武陟县接入环11-三阳2-宁郭镇政府-高速交警监控汇聚链,1.0,河南,接入层
6.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,修武县接入环22-修武机房数据3-修武机房数据链,2.0,河南,接入层
18.0,焦作,1,0.0,0.18936,189.36,0.18825,188.25,20200301,是,否,孟州接入环30-上河-赵和,10.0,河南,接入层
22.0,焦作,1,0.0,0.11542,115.42,0.09641,96.41,20200301,是,否,温县接入环33-温县移动机房-温县移动机房2,2.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环23-南古-北郭小司马-海事局链,1.0,河南,接入层
0.0,焦作,1,0.0,0.0051600000000000005,5.16,0.0051600000000000005,5.16,20200301,否,否,焦作接入环12-高速公路管理局-大家作联通链,1.0,河南,接入层
24.0,焦作,1,0.0,0.11794,117.94,0.09148,91.48,20200301,是,否,沁阳接入环24-移动基站-音乐广场,2.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作接入环7-小尚-中南路与怡光路交叉口西南-中站仓库链,1.0,河南,接入层
16.0,焦作,10,0.0,0.15616999999999998,156.17,0.15089,150.89,20200301,是,否,焦作接入环5-中站东福园小区-海天印染2,2.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市区接入环16-百间房-寺河-中央粮食储备库链,2.0,河南,接入层
40.0,焦作,1,0.0,0.283,283.0,0.26822,268.22,20200301,是,否,孟州接入环5-福康食品厂-实验中学,10.0,河南,接入层
28.0,焦作,1,0.0,0.02497,24.97,0.020300000000000002,20.3,20200301,是,否,孟州接入环6-邮政局-海尔广场,3.0,河南,接入层
2.0,焦作,1,0.0,0.03771,37.71,0.037469999999999996,37.47,20200301,是,否,修武县双跨接入环2-红旗村西北角-周庄,4.0,河南,接入层
10.0,焦作,1,0.0,0.29525999999999997,295.26,0.27147000000000004,271.47,20200301,是,否,博爱接入环2-栗庄(铁塔)-博文农场,11.0,河南,接入层
18.0,焦作,1,0.0,0.13988,139.88,0.09684999999999999,96.85,20200301,是,否,武陟县接入环4-扈庄-陈堤,6.0,河南,接入层
13.0,焦作,2,0.0,0.4168,416.8,0.37631,376.31,20200301,是,否,沁阳接入环37-西万-马庄,6.0,河南,接入层
60.0,焦作,10,0.0,0.65489,654.89,0.6176799999999999,617.68,20200301,是,否,焦作市区接入环18-郝庄-中级人民法院,9.0,河南,接入层
2.0,焦作,1,0.0,0.02671,26.71,0.02486,24.86,20200301,是,否,新新家园链5-新新商务,1.0,河南,接入层
0.0,焦作,1,0.0,0.06406999999999999,64.07,0.06147,61.47,20200301,否,否,武陟县接入环48-詹店何营,1.0,河南,接入层
0.0,焦作,10,1.0,0.0437,43.7,0.038189999999999995,38.19,20200301,否,是,6453-沁阳移动机房970-子架1-2-TPK1EX1S-1(PORT-1)-6013-沁阳2-7-82EX2-2(对沁阳PTN970),0.0,河南,接入层
14.0,焦作,1,0.0,0.05044,50.44,0.04506,45.06,20200301,是,否,焦作市接入环双跨环2-住郭庄北-太极体育馆东南-亿祥东郡小区（室分）链,1.0,河南,接入层
30.0,焦作,1,0.0,0.15033000000000002,150.33,0.14269,142.69,20200301,是,否,焦作市区接入环23-马村区矿务局搬迁小区东侧-马村检察院,5.0,河南,接入层
0.0,焦作,1,0.0,0.00517,5.17,0.0051600000000000005,5.16,20200301,否,否,焦作市接入环双跨环2-住郭庄北-太极体育馆东南-亿祥东郡专线链,1.0,河南,接入层
22.0,焦作,1,0.0,0.14708000000000002,147.08,0.13116,131.16,20200301,是,否,修武县双跨接入环6-南台-陈村,6.0,河南,接入层
2.0,焦作,1,0.0,0.02368,23.68,0.01645,16.45,20200301,是,否,马村链6-马千年冷冻,1.0,河南,接入层
0.0,焦作,1,0.0,0.00074,0.74,0.0007199999999999999,0.72,20200301,否,否,沁阳接入环44-老四中-柏香-柏香石化监控（集客）链,1.0,河南,接入层
2.0,焦作,1,0.0,0.01287,12.87,0.0067,6.7,20200301,是,否,武陟县接入环5-大运重卡,1.0,河南,接入层
10.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环30-侯园二巷-和平饭店-和平小学链,1.0,河南,接入层
4.0,焦作,1,0.0,0.046979999999999994,46.98,0.03718,37.18,20200301,是,否,武陟县辛杨链1-后牛,1.0,河南,接入层
8.0,焦作,10,0.0,0.42656,426.56,0.4136,413.6,20200301,是,否,博爱接入环1-中医院西-月山数据,9.0,河南,接入层
4.0,焦作,1,0.0,0.27548,275.48,0.24863,248.63,20200301,是,否,博爱接入环13-未来面粉厂-苏家作,4.0,河南,接入层
0.0,焦作,GE,0.0,0.11043,110.43,0.10504999999999999,105.05,20200301,否,否,孟州接入环27-孟州移动公司（PTN960）-孟州移动公司,4.0,河南,接入层
2.0,焦作,1,0.0,0.00728,7.28,0.006809999999999999,6.81,20200301,是,否,生产楼核心一链22-盛通综合楼室分,1.0,河南,接入层
8.0,焦作,1,0.0,0.00185,1.85,0.00173,1.73,20200301,是,否,沁阳接入环25-水运-北山,3.0,河南,接入层
2.0,焦作,1,0.0,0.01196,11.96,0.00954,9.54,20200301,是,否,生产楼核心一链4-电业局小区(室分),1.0,河南,接入层
16.0,焦作,1,0.0,0.14880000000000002,148.8,0.13982,139.82,20200301,是,否,孟州接入环32-西田丈-东小仇,6.0,河南,接入层
14.0,焦作,1,0.0,0.18415,184.15,0.13966,139.66,20200301,是,否,武陟县接入环52-程封-邢庄,6.0,河南,接入层
46.0,焦作,10,0.0,0.26377,263.77,0.25165,251.65,20200301,是,否,焦作银发接入环2-鑫鑫小区-重型机械厂链,4.0,河南,接入层
40.0,焦作,1,0.0,0.09715,97.15,0.06583,65.83,20200301,是,否,沁阳接入环31-王召-东关,15.0,河南,接入层
22.0,焦作,1,0.0,0.09011,90.11,0.08975,89.75,20200301,是,否,沁阳接入环35-西王梁-大留村,10.0,河南,接入层
4.0,焦作,1,0.0,0.015390000000000001,15.39,0.00711,7.11,20200301,是,否,沁阳接入链2-阳光假日,1.0,河南,接入层
6.0,焦作,1,0.0,0.06705,67.05,0.06071,60.71,20200301,是,否,新新家园链2-华苑新城室分,1.0,河南,接入层
79.0,焦作,10,0.0,0.36489,364.89,0.28152999999999995,281.53,20200301,是,否,沁阳接入环5-水南关煤球厂-沁阳西关,16.0,河南,接入层
38.0,焦作,1,0.0,0.07876000000000001,78.76,0.07169,71.69,20200301,是,否,焦作接入环12-高速公路管理局-大家作联通,12.0,河南,接入层
12.0,焦作,10,0.0,0.10305,103.05,0.09084,90.84,20200301,是,否,生产楼接入环1-职教中心西南-万方嘉园南,4.0,河南,接入层
0.0,焦作,1,0.0,0.6600499999999999,660.05,0.6586799999999999,658.68,20200301,否,否,焦作高新核心3链1-高新区公安人脸识别汇聚,1.0,河南,接入层
28.0,焦作,10,0.0,0.59196,591.96,0.54012,540.12,20200301,是,否,修武县接入环19-2328-修武大位村（10G）,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,武陟县接入链2-武陟机房数据2（集客）,1.0,河南,接入层
2.0,焦作,1,0.0,0.05003,50.03,0.02436,24.36,20200301,是,否,马村链5-马村机房数据,1.0,河南,接入层
6.0,焦作,1,0.0,0.03436,34.36,0.021070000000000002,21.07,20200301,是,否,焦作市区接入环10-新体育馆2-师专-建业公园里（室分）链,1.0,河南,接入层
10.0,焦作,1,0.0,0.15907,159.07,0.15042,150.42,20200301,是,否,博爱接入环26-博爱高级中学-防疫站2,10.0,河南,接入层
54.0,焦作,1,0.0,0.35705000000000003,357.05,0.23617,236.17,20200301,是,否,沁阳接入环32-国泰花园-香港街南,6.0,河南,接入层
28.0,焦作,1,0.0,0.17927,179.27,0.16197,161.97,20200301,是,否,沁阳接入环8-景屯南基站-实验中学,7.0,河南,接入层
12.0,焦作,10,0.0,0.26379,263.79,0.24259,242.59,20200301,是,否,焦作市区接入环5-毛寨-上马村,10.0,河南,接入层
14.0,焦作,1,0.0,0.11784,117.84,0.08788,87.88,20200301,是,否,温县接入环41-温县人民政府-农发行东南,4.0,河南,接入层
36.0,焦作,1,0.0,0.289,289.0,0.24465,244.65,20200301,是,否,温县接入环1-子夏公园北-党校,9.0,河南,接入层
26.0,焦作,1,0.0,0.07492,74.92,0.06199,61.99,20200301,是,否,温县接入环44-质量监督局2-农村信用社,6.0,河南,接入层
14.0,焦作,10,0.0,0.051609999999999996,51.61,0.04456,44.56,20200301,是,否,焦作市接入环双跨环15-李万分局-高新区管委会,5.0,河南,接入层
6.0,焦作,10,0.0,0.17647,176.47,0.17581,175.81,20200301,是,否,孟州接入环12-干沟桥-曲沟,7.0,河南,接入层
4.0,焦作,10,0.0,0.29425,294.25,0.29325,293.25,20200301,是,否,孟州接入环35-中临泉-东赵和,7.0,河南,接入层
20.0,焦作,10,0.0,0.24834,248.34,0.23163,231.63,20200301,是,否,焦作市南北苑接入环4-百间房李河（铁塔）-马村计划生育委员会,13.0,河南,接入层
31.0,焦作,1,0.0,0.29899000000000003,298.99,0.24391,243.91,20200301,是,否,博爱接入环38-康力药业-凯森药业,7.0,河南,接入层
37.0,焦作,GE,0.0,0.17565,175.65,0.14899,148.99,20200301,是,否,焦作市区接入环9-一中东北-周平陵南(铁塔),10.0,河南,接入层
18.0,焦作,1,0.0,0.31791,317.91,0.28542,285.42,20200301,是,否,焦作市区接入环19-隤城寨-姜冯营,9.0,河南,接入层
6.0,焦作,1,0.0,0.07748000000000001,77.48,0.06570999999999999,65.71,20200301,是,否,博爱接入环39-小梁庄西北-强力轮胎公司,2.0,河南,接入层
6.0,焦作,1,0.0,0.17087,170.87,0.16421,164.21,20200301,是,否,博爱接入环10-鹿村-聂村西,6.0,河南,接入层
6.0,焦作,1,0.0,0.09465000000000001,94.65,0.09134,91.34,20200301,是,否,博爱接入环12-梁陈-贵屯,4.0,河南,接入层
30.0,焦作,1,0.0,0.11145999999999999,111.46,0.10066,100.66,20200301,是,否,中站接入环2-中站司后-老牛河西,11.0,河南,接入层
20.0,焦作,1,0.0,0.11451,114.51,0.07533,75.33,20200301,是,否,沁阳接入环34-医药局-一中印刷厂,3.0,河南,接入层
18.0,焦作,1,0.0,0.13549,135.49,0.10377,103.77,20200301,是,否,沁阳接入环30-亚中皮毛厂-大护城,7.0,河南,接入层
12.0,焦作,10,0.0,0.21348,213.48,0.21181999999999998,211.82,20200301,是,否,孟州接入环38-南庄-殷家洼,7.0,河南,接入层
4.0,焦作,10,0.0,0.25482,254.82,0.25382,253.82,20200301,是,否,孟州接入环37-杜村-四联,4.0,河南,接入层
6.0,焦作,1,0.0,0.27616,276.16,0.25427,254.27,20200301,是,否,博爱接入环5-南石涧-张茹集,9.0,河南,接入层
0.0,焦作,1,0.0,0.12574,125.74,0.11899,118.99,20200301,否,否,博爱接入环25-南庄-西金城,6.0,河南,接入层
10.0,焦作,1,0.0,0.1418,141.8,0.10260999999999999,102.61,20200301,是,否,温县接入环12-番田机房-杨垒,5.0,河南,接入层
10.0,焦作,1,0.0,0.10418000000000001,104.18,0.09281,92.81,20200301,是,否,温县接入环26-南韩-黄庄营业厅,5.0,河南,接入层
5.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,孟州接入环10-鼓楼老街北-耿唐浴池-鼓楼医院室分,2.0,河南,接入层
44.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,孟州接入环39-金诺汽修-气象局,6.0,河南,接入层
69.0,焦作,1,0.0,0.19177000000000002,191.77,0.17837,178.37,20200301,是,否,孟州接入环10-鼓楼老街北-耿唐浴池,12.0,河南,接入层
18.0,焦作,1,0.0,0.11389,113.89,0.09196,91.96,20200301,是,否,温县接入环38-罗坡底村-赵郭作,9.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,孟州接入环10-鼓楼老街北-耿唐浴池-电力公司建行专线,1.0,河南,接入层
46.0,焦作,1,0.0,0.0448,44.8,0.03728,37.28,20200301,是,否,温县接入环16-祥云镇-夏庄,6.0,河南,接入层
28.0,焦作,1,0.0,0.27994,279.94,0.26487,264.87,20200301,是,否,焦作市接入环双跨环7-待王西南角-义门村村南,9.0,河南,接入层
10.0,焦作,1,0.0,0.23952,239.52,0.23133,231.33,20200301,是,否,博爱接入环41-新五接-八街北,6.0,河南,接入层
12.0,焦作,1,0.0,0.16724,167.24,0.15691,156.91,20200301,是,否,博爱接入环42-化肥厂-金博爱,3.0,河南,接入层
48.0,焦作,10,0.0,0.24981,249.81,0.23182,231.82,20200301,是,否,高新区核心一接入环1-宏昌学校-长途汽车站,8.0,河南,接入层
12.0,焦作,1,0.0,0.0264,26.4,0.02411,24.11,20200301,是,否,修武县接入环15-伟彤集团-里屯,4.0,河南,接入层
34.0,焦作,1,0.0,0.28387,283.87,0.23453,234.53,20200301,是,否,温县接入环7-龙凤酒店-温泉镇派出所,10.0,河南,接入层
34.0,焦作,2,0.0,0.06867,68.67,0.06479,64.79,20200301,是,否,温县接入环28-东关菜市场-温县华豫溪谷,6.0,河南,接入层
12.0,焦作,1,0.0,0.0965,96.5,0.09554,95.54,20200301,是,否,温县接入环20-东张王庄-南张羌税务局,5.0,河南,接入层
8.0,焦作,1,0.0,0.00209,2.09,0.00206,2.06,20200301,是,否,温县接入环27-鑫源区管委会-西张王庄,3.0,河南,接入层
0.0,焦作,1,0.0,0.08064,80.64,0.05059,50.59,20200301,否,否,博爱接入环3-金城-高庙,5.0,河南,接入层
