PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-5-TPA1EX8-6(PORT-6)-8012-澳通苑-主L2/L3-1-子架1-5-TPA1EX8-6(PORT-6),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-4(PORT-4)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(3)$:8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-5(PORT-5)-8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.24,核心链路
	#@!JIZCORELINK(3)$:8012-澳通苑-主L2/L3-1-子架1-6-TPA1EX8-3(PORT-3)-8011-武陟-备L2/L3-2-子架1-6-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,2.03%,203.0,0.86%,86.19,核心链路
	#@!JIZCORELINK(38)$焦作市核心调度环15-市区:1035-高新-子架1-4-TPA1EX8S-2(2-0-2)-8004-高新-2-L2/L3-子架1-2(GigabitEthernet2/0/2),焦作,0.0,20200302,河南,10,1.25%,125.0,0.48%,47.56,核心链路
	#@!JIZCORELINK(38)$焦作市核心调度环16-市区:1035-高新-子架1-4-TPA1EX8S-3(2-0-3)-8004-高新-2-L2/L3-子架1-3(GigabitEthernet2/0/3),焦作,0.0,20200302,河南,10,1.27%,127.0,0.60%,60.03,核心链路
	#@!JIZCORELINK(39)$焦作市核心调度环15-市区:1037-生产楼-子架1-3-TPA1EX8S-1(2-0-2)-8005-生产楼-2-L2/L3-子架1-2(GigabitEthernet2/0/2),焦作,0.0,20200302,河南,10,12.00%,1200.0,9.08%,907.71,核心链路
	#@!JIZCORELINK(39)$焦作市核心调度环16-市区:1037-生产楼-子架1-3-TPA1EX8S-2(2-0-3)-8005-生产楼-2-L2/L3-子架1-3(GigabitEthernet2/0/3),焦作,0.0,20200302,河南,10,6.96%,696.0,3.99%,398.91,核心链路
